gene.symbol	module.id
5-HT1A	module 1
beat-Ib	module 1
beat-Ic	module 1
beat-IIa	module 1
bru3	module 1
Ca-alpha1T	module 1
Cbp53E	module 1
CG13739	module 1
CG15765	module 1
CG31221	module 1
CG32700	module 1
CG34354	module 1
CG42342	module 1
CG42540	module 1
CG42541	module 1
CG45263	module 1
CG8861	module 1
Cngl	module 1
Con	module 1
Ddc	module 1
DIP-delta	module 1
Dop2R	module 1
dpr1	module 1
dpr8	module 1
Dscam2	module 1
eys	module 1
Fife	module 1
Ggamma30A	module 1
heph	module 1
IA-2	module 1
igl	module 1
jdp	module 1
kairos	module 1
kek1	module 1
klg	module 1
Ktl	module 1
lncRNA:CR31451	module 1
luna	module 1
mbl	module 1
Mmp2	module 1
msi	module 1
nAChRalpha5	module 1
nAChRalpha6	module 1
nAChRalpha7	module 1
Nlg3	module 1
Octalpha2R	module 1
Pde1c	module 1
Pkc53E	module 1
pros	module 1
Ptp99A	module 1
Pvf3	module 1
Rbp6	module 1
rdgA	module 1
Rdl	module 1
Scp2	module 1
shakB	module 1
shep	module 1
side-II	module 1
side-III	module 1
sNPF	module 1
Stacl	module 1
Ten-a	module 1
trv	module 1
br	module 1
CG11030	module 1
CG46301	module 1
CG9650	module 1
dati	module 1
jim	module 1
lncRNA:CR44024	module 1
mamo	module 1
14-3-3zeta	module 1
Atg8a	module 1
CanB	module 1
CG12237	module 1
CG12822	module 1
CG17029	module 1
CG18467	module 1
CG31808	module 1
CG3662	module 1
CG3793	module 1
CG7582	module 1
ctp	module 1
Dph5	module 1
Drep4	module 1
Gapdh1	module 1
Gapdh2	module 1
Gbeta5	module 1
Glut4EF	module 1
Msp300	module 1
Pgi	module 1
Rab27	module 1
ringer	module 1
RNASEK	module 1
Rop	module 1
Sap47	module 1
TM4SF	module 1
veli	module 1
Vha13	module 1
Vha14-1	module 1
Vha36-1	module 1
Vha68-1	module 1
7B2	module 1
CG2269	module 1
CG43324	module 1
CG7646	module 1
fax	module 1
Pcd	module 1
prim	module 1
sta	module 1
amon	module 1
CG1275	module 1
CG13248	module 1
CG14186	module 1
CG30172	module 1
CG32017	module 1
CG44247	module 1
CG4577	module 1
cpx	module 1
Gpb5	module 1
Hasp	module 1
jeb	module 1
miple1	module 1
Pal2	module 1
svr	module 1
Sytbeta	module 1
alphaSnap	module 1
AP-2sigma	module 1
ATP6AP2	module 1
bsk	module 1
CG13928	module 1
CG31030	module 1
CG5676	module 1
