gene.symbol	module.id
eEF1alpha1	module 1
eEF2	module 1
lncRNA:roX1	module 1
pAbp	module 1
Rack1	module 1
RpL10Ab	module 1
RpL13A	module 1
RpL14	module 1
RpL17	module 1
RpL18A	module 1
RpL23A	module 1
RpL27A	module 1
RpL28	module 1
RpL3	module 1
RpL37a	module 1
RpL6	module 1
RpL7	module 1
RpL7A	module 1
RpL8	module 1
RpLP1	module 1
RpLP2	module 1
RpS11	module 1
RpS15	module 1
RpS18	module 1
RpS2	module 1
RpS26	module 1
RpS27	module 1
RpS29	module 1
RpS4	module 1
RpS7	module 1
RpS8	module 1
sta	module 1
Arr1	module 2
Arr2	module 2
lncRNA:CR34335	module 2
ninaE	module 2
norpA	module 2
rdgA	module 2
trpl	module 2
CG10077	module 3
CG41378	module 3
CG46385	module 3
Hsp26	module 3
Hsp68	module 3
Hsp70Ab	module 3
Hsp70Bc	module 3
Hsp83	module 3
lncRNA:alphagamma-element:CR32865	module 3
stv	module 3
brp	module 4
cac	module 4
CG11000	module 4
CG17684	module 4
CG42260	module 4
CG42541	module 4
CG42795	module 4
CG44422	module 4
CG4467	module 4
CG45002	module 4
Cngl	module 4
dpr21	module 4
Dscam4	module 4
Frq1	module 4
Gfrl	module 4
Hk	module 4
Hs3st-A	module 4
jus	module 4
nAChRalpha4	module 4
nAChRalpha6	module 4
NaCP60E	module 4
Nckx30C	module 4
Nlg3	module 4
Nrx-1	module 4
Octbeta3R	module 4
para	module 4
Pde1c	module 4
qvr	module 4
Rdl	module 4
Rim	module 4
scro	module 4
scrt	module 4
Sh	module 4
shakB	module 4
side-III	module 4
sif	module 4
slo	module 4
SLO2	module 4
Snap25	module 4
Syt1	module 4
tei	module 4
tutl	module 4
unc79	module 4
Cadps	module 4
CASK	module 4
CG42540	module 4
CG42613	module 4
CG42750	module 4
CG6329	module 4
Dscam2	module 4
Fas1	module 4
GluClalpha	module 4
hig	module 4
Ih	module 4
mei-P26	module 4
mmd	module 4
nAChRalpha5	module 4
nAChRbeta1	module 4
pan	module 4
Pde9	module 4
Ptp99A	module 4
Rbp1-like	module 4
Sema1a	module 4
Srrm234	module 4
stol	module 4
Ten-a	module 4
Tet	module 4
Tomosyn	module 4
unc-13	module 4
bru1	module 4
bru3	module 4
Ca-alpha1T	module 4
CG15431	module 4
CG42342	module 4
Con	module 4
ct	module 4
dpr1	module 4
eag	module 4
Ggamma30A	module 4
heph	module 4
klg	module 4
lncRNA:Hsromega	module 4
mamo	module 4
mbl	module 4
msi	module 4
nAChRalpha7	module 4
Octalpha2R	module 4
pdm3	module 4
pros	module 4
pum	module 4
Rbfox1	module 4
Rbp6	module 4
rdgA	module 4
Shab	module 4
side	module 4
SK	module 4
sm	module 4
trv	module 4
CG16779	module 4
dpr8	module 4
dpr9	module 4
nAChRalpha1	module 4
nAChRalpha3	module 4
Nlg2	module 4
side-II	module 4
side-VI	module 4
CG13739	module 4
CG32432	module 4
cpx	module 4
dpr6	module 4
fne	module 4
smog	module 4
Cbp53E	module 4
CG31221	module 4
CG43902	module 4
CG9932	module 4
DopEcR	module 4
IA-2	module 4
jeb	module 4
Stacl	module 4
CG40498	module 4
CG42402	module 4
CG45263	module 4
Fife	module 4
GluRIB	module 4
lncRNA:noe	module 4
rad	module 4
Ace	module 4
Appl	module 4
Glut1	module 4
Hasp	module 4
lncRNA:CR31451	module 4
Ca-alpha1D	module 4
CG42594	module 4
chinmo	module 4
GABA-B-R1	module 4
Mid1	module 4
Rbp	module 4
RhoGAP100F	module 4
Syt7	module 4
X11Lbeta	module 4
Liprin-gamma	module 4
OtopLa	module 4
Pzl	module 4
CaMKII	module 4
CG41378	module 4
l(3)80Fg	module 4
Myo81F	module 4
Scp1	module 4
Ank2	module 4
Ca-beta	module 4
CadN	module 4
CG17816	module 4
dysc	module 4
futsch	module 4
nrv3	module 4
Rab3-GEF	module 4
