FLYBASE,SYMBOL,GENENAME,chromosome_name,start_position,end_position,ensembl_transcript_id,flybase_transcript_id,transcript_start,transcript_end,transcription_start_site,transcript_length,transcript_count
FBgn0000003,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,3R,6822500,6822798,FBtr0081624,FBtr0081624,6822500,6822798,6822500,299,3
FBgn0000008,a,arc,2R,22136968,22172834,FBtr0342981,FBtr0342981,22136968,22172834,22136968,3897,12
FBgn0000014,abd-A,abdominal A,3R,16807214,16830049,FBtr0306337,FBtr0306337,16807214,16830049,16830049,5269,12
FBgn0000015,Abd-B,Abdominal B,3R,16927212,16972236,FBtr0415463,FBtr0415463,16927212,16934242,16934242,4870,30
FBgn0000017,Abl,Abl tyrosine kinase,3L,16615866,16647882,FBtr0330132,FBtr0330132,16622370,16647882,16647882,5913,30
FBgn0000018,abo,abnormal oocyte,2L,10973443,10975293,FBtr0080168,FBtr0080168,10973443,10975293,10975293,1794,3
FBgn0000022,ac,achaete,X,370031,370947,FBtr0070072,FBtr0070072,370031,370947,370031,917,3
FBgn0000024,Ace,Acetylcholine esterase,3R,13222951,13259517,FBtr0300486,FBtr0300486,13228242,13259517,13259517,4076,9
FBgn0000028,acj6,abnormal chemosensory jump 6,X,15350239,15379064,FBtr0305195,FBtr0305195,15352357,15379064,15379064,2651,52
FBgn0000032,Acph-1,Acid phosphatase 1,3R,29991144,29993411,FBtr0085610,FBtr0085610,29991144,29993276,29993276,1889,6
FBgn0000036,nAChRalpha1,nicotinic Acetylcholine Receptor alpha1,3R,24393896,24457157,FBtr0334916,FBtr0334916,24393896,24457157,24457157,11027,9
FBgn0000037,mAChR-A,"muscarinic Acetylcholine Receptor, A-type",2R,24378630,24390294,FBtr0072367,FBtr0072367,24378630,24390294,24390294,5370,4
FBgn0000038,nAChRbeta1,nicotinic Acetylcholine Receptor beta1,3L,4429349,4435993,FBtr0073299,FBtr0073299,4429349,4435993,4429349,2460,6
FBgn0000039,nAChRalpha2,nicotinic Acetylcholine Receptor alpha2,3R,24485428,24491147,FBtr0084640,FBtr0084640,24485428,24491147,24485428,2319,6
FBgn0000042,Act5C,Actin 5C,X,5900861,5905399,FBtr0100663,FBtr0100663,5900861,5904464,5900861,1928,20
FBgn0000043,Act42A,Actin 42A,2R,6013910,6015689,FBtr0086029,FBtr0086029,6013910,6015689,6015689,1626,3
FBgn0000044,Act57B,Actin 57B,2R,20944021,20946431,FBtr0071519,FBtr0071519,20944021,20946431,20944021,1724,3
FBgn0000045,Act79B,Actin 79B,3L,21985210,21987190,FBtr0334090,FBtr0334090,21985210,21987190,21985210,1619,6
FBgn0000046,Act87E,Actin 87E,3R,13425983,13428375,FBtr0082785,FBtr0082785,13425983,13428089,13425983,1567,9
FBgn0000047,Act88F,Actin 88F,3R,15439969,15442177,FBtr0083143,FBtr0083143,15439969,15442177,15439969,1595,3
FBgn0000052,Pfas,Phosphoribosylformylglycinamidine synthase,2L,6041181,6046050,FBtr0079221,FBtr0079221,6041181,6045596,6045596,4277,9
FBgn0000053,Gart,GART trifunctional enzyme,2L,7014623,7023898,FBtr0100353,FBtr0100353,7018087,7023898,7023898,1556,9
FBgn0000055,Adh,Alcohol dehydrogenase,2L,14615552,14618902,FBtr0100590,FBtr0100590,14616267,14617402,14616267,1001,15
FBgn0000056,Adhr,Adh-related,2L,14615552,14618902,FBtr0343699,FBtr0343699,14617511,14618902,14617511,915,9
FBgn0000057,adp,adipose,2R,18151704,18154060,FBtr0340288,FBtr0340288,18151754,18154060,18151754,2241,6
FBgn0000061,al,aristaless,2L,378112,387439,FBtr0078053,FBtr0078053,378112,387439,378112,1806,2
FBgn0000063,Mps1,Monopolar spindle 1,3R,17671271,17673828,FBtr0331348,FBtr0331348,17671271,17673828,17671271,2141,6
FBgn0000064,Ald1,Aldolase 1,3R,26254069,26261591,FBtr0306657,FBtr0306657,26255966,26261412,26261412,1614,30
FBgn0000071,Ama,Amalgam,3R,6762593,6765261,FBtr0081618,FBtr0081618,6762593,6765261,6762593,1833,9
FBgn0000075,amd,alpha methyl dopa-resistant,2L,19110154,19114110,FBtr0081154,FBtr0081154,19111841,19114110,19111841,1792,6
FBgn0000077,amx,almondex,X,9245915,9247336,FBtr0071331,FBtr0071331,9245915,9247336,9247336,1422,8
FBgn0000078,Amy-d,Amylase distal,2R,17124764,17126369,FBtr0086983,FBtr0086983,17124764,17126369,17124764,1606,3
FBgn0000079,Amy-p,Amylase proximal,2R,17118636,17120303,FBtr0345521,FBtr0345521,17118636,17120303,17120303,1668,6
FBgn0000083,AnxB9,Annexin B9,3R,21065241,21070917,FBtr0089519,FBtr0089519,21065241,21069754,21065241,1432,18
FBgn0000084,AnxB10,Annexin B10,X,20171445,20173514,FBtr0301931,FBtr0301931,20171445,20173514,20173514,1247,8
FBgn0000092,dyw,daywake,X,2692732,2693886,FBtr0070504,FBtr0070504,2692732,2693886,2693886,1013,4
FBgn0000094,Anp,Andropin,3R,30209948,30210382,FBtr0346141,FBtr0346141,30209948,30210382,30209948,373,6
FBgn0000097,aop,anterior open,2L,2156484,2178754,FBtr0330660,FBtr0330660,2157427,2178754,2178754,3936,15
FBgn0000100,RpLP0,Ribosomal protein LP0,3L,22075867,22077487,FBtr0078481,FBtr0078481,22076092,22077487,22076092,1211,6
FBgn0000108,Appl,beta amyloid protein precursor-like,X,530501,579044,FBtr0307295,FBtr0307295,530501,578130,530501,5425,18
FBgn0000109,Aprt,Adenine phosphoribosyltransferase,3L,1883795,1885019,FBtr0346441,FBtr0346441,1883892,1885019,1885019,924,9
FBgn0000114,bru1,bruno 1,2L,12175004,12313438,FBtr0331645,FBtr0331645,12222197,12312311,12222197,4147,30
